Year,SERIES,UNIT_MEASURE,Врста производа,Value
2017,Потрошња домаћих материјала,Тоне,Остаци усјева,1124274.0
2018,Потрошња домаћих материјала,Тоне,Остаци усјева,1762387.0
2019,Потрошња домаћих материјала,Тоне,Остаци усјева,1692072.0
2020,Потрошња домаћих материјала,Тоне,Остаци усјева,1976390.0
2021,Потрошња домаћих материјала,Тоне,Остаци усјева,1377602.0
2015,Потрошња домаћих материјала,Тоне,Усјеви,3294741.0
2016,Потрошња домаћих материјала,Тоне,Усјеви,3982517.0
2017,Потрошња домаћих материјала,Тоне,Усјеви,3209632.0
2018,Потрошња домаћих материјала,Тоне,Усјеви,4080556.0
2019,Потрошња домаћих материјала,Тоне,Усјеви,3865654.0
2020,Потрошња домаћих материјала,Тоне,Усјеви,4286359.0
2021,Потрошња домаћих материјала,Тоне,Усјеви,3391777.0
2015,Потрошња домаћих материјала,Тоне,Руде жељеза,1874641.0
2016,Потрошња домаћих материјала,Тоне,Руде жељеза,1497692.0
2017,Потрошња домаћих материјала,Тоне,Руде жељеза,1408674.0
2018,Потрошња домаћих материјала,Тоне,Руде жељеза,1222843.0
2019,Потрошња домаћих материјала,Тоне,Руде жељеза,1332408.0
2020,Потрошња домаћих материјала,Тоне,Руде жељеза,1276780.0
2021,Потрошња домаћих материјала,Тоне,Руде жељеза,1358374.0
2015,Потрошња домаћих материјала,Тоне,Природни гас,230150.0
2016,Потрошња домаћих материјала,Тоне,Природни гас,253636.0
2017,Потрошња домаћих материјала,Тоне,Природни гас,261754.0
2018,Потрошња домаћих материјала,Тоне,Природни гас,263663.0
2019,Потрошња домаћих материјала,Тоне,Природни гас,263622.0
2020,Потрошња домаћих материјала,Тоне,Природни гас,221606.0
2021,Потрошња домаћих материјала,Тоне,Природни гас,268993.0
2015,Потрошња домаћих материјала,Тоне,Сточна храна и крмно биље,1963739.0
2016,Потрошња домаћих материјала,Тоне,Сточна храна и крмно биље,1959499.0
2017,Потрошња домаћих материјала,Тоне,Сточна храна и крмно биље,1929226.0
2018,Потрошња домаћих материјала,Тоне,Сточна храна и крмно биље,1900307.0
2019,Потрошња домаћих материјала,Тоне,Сточна храна и крмно биље,1875555.0
