Year,SERIES,Биоклиматски појас,Покривеност земљишта,UNIT_MEASURE,Value
2005,Индекс планинског зеленог покривача (квадратних километара),Планински,Неплодна земља,Квадратних километара,68.7
2010,Индекс планинског зеленог покривача (квадратних километара),Планински,Неплодна земља,Квадратних километара,63.9
2015,Индекс планинског зеленог покривача (квадратних километара),Планински,Неплодна земља,Квадратних километара,60.3
2018,Индекс планинског зеленог покривача (квадратних километара),Планински,Неплодна земља,Квадратних километара,60.3
2021,Индекс планинског зеленог покривача (квадратних километара),Планински,Неплодна земља,Квадратних километара,60.3
2000,Индекс планинског зеленог покривача (квадратних километара),Планински,Подручја покривена дрвећем,Квадратних километара,19463.59
2005,Индекс планинског зеленог покривача (квадратних километара),Планински,Подручја покривена дрвећем,Квадратних километара,19759.4
2010,Индекс планинског зеленог покривача (квадратних километара),Планински,Подручја покривена дрвећем,Квадратних километара,19983.9
2015,Индекс планинског зеленог покривача (квадратних километара),Планински,Подручја покривена дрвећем,Квадратних километара,20049.9
2018,Индекс планинског зеленог покривача (квадратних километара),Планински,Подручја покривена дрвећем,Квадратних километара,20033.2
2021,Индекс планинског зеленог покривача (квадратних километара),Планински,Подручја покривена дрвећем,Квадратних километара,20016.5
2000,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Вјештачке површине,Квадратних километара,0.1
2005,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Вјештачке површине,Квадратних километара,0.1
2010,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Вјештачке површине,Квадратних километара,0.1
2015,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Вјештачке површине,Квадратних километара,0.1
2018,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Вјештачке површине,Квадратних километара,0.1
2021,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Вјештачке површине,Квадратних километара,0.1
2000,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Усјеви,Квадратних километара,2.2
2005,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Усјеви,Квадратних километара,2.0
2010,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Усјеви,Квадратних километара,2.1
2015,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Усјеви,Квадратних километара,2.2
2018,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Усјеви,Квадратних километара,2.2
2021,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Усјеви,Квадратних километара,2.2
2000,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Трајни снијег и глечери,Квадратних километара,0.0
2005,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Трајни снијег и глечери,Квадратних километара,0.0
2010,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Трајни снијег и глечери,Квадратних километара,0.0
2015,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Трајни снијег и глечери,Квадратних километара,0.0
2018,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Трајни снијег и глечери,Квадратних километара,0.0
