Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2016,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,506.83515
2017,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,522.35815
2018,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,536.0496
2019,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,543.66225
2020,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,554.28813
2021,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,566.05012
2022,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,573.66727
2000,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2001,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2002,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2003,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2004,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2005,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2006,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2007,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2008,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2009,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2010,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2011,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2012,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2013,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2014,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2015,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2016,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2017,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2018,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2019,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2020,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2021,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2022,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2000,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,0.0
2001,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,0.0
2002,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,0.0
2003,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,0.02393
2004,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,0.04828
2005,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,0.07323
2006,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,0.07383
2007,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,0.07475
2008,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,0.07608
2009,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,0.07732
2010,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,0.07871
2011,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,0.08018
2012,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,0.09509
2013,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,0.37083
2014,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,2.01019
2015,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,2.32199
2016,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,4.06565
2017,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,4.66652
2018,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,5.35872
2019,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,6.68055
